nim;pisn;concatenate;;
4820102230001;1000322010284;;;
4820102230002;2000322010284;;;
4820102230003;3000322010284;;;
4820102230004;4000322010284;;;
4820102230005;5000322010284;;;
4820102230006;6000322010284;;;
4820102230007;7000322010284;;;
4820102230008;8000322010284;;;
4820102230009;9000322010284;;;
4820102230010;0100322010284;;;
4820102230011;1100322010284;;;
4820102230012;2100322010284;;;
4820102230013;3100322010284;;;
4820102230014;4100322010284;;;
4820102230015;5100322010284;;;
4820102230016;6100322010284;;;
4820102230017;7100322010284;;;
4820102230018;8100322010284;;;
4820102230019;9100322010284;;;
4820102230020;0200322010284;;;
4820102230021;1200322010284;;;
4820102230022;2200322010284;;;
4820102230023;3200322010284;;;
4820102230024;4200322010284;;;
4820102230025;5200322010284;;;
4820102230026;6200322010284;;;
4820102230027;7200322010284;;;
4820102230028;8200322010284;;;
4820102230029;9200322010284;;;
4820102230030;0300322010284;;;
4820102230031;1300322010284;;;
4820102230032;2300322010284;;;
4820102230033;3300322010284;;;
4820102230034;4300322010284;;;
4820102230035;5300322010284;;;
4820102230036;6300322010284;;;
4820102230037;7300322010284;;;
4820102230038;8300322010284;;;
4820102230039;9300322010284;;;
4820102230040;0400322010284;;;
4820102230041;1400322010284;;;
4820102230042;2400322010284;;;
4820102230044;4400322010284;;;
4820102230069;9600322010284;;;
